venue,country,city,lat,lon,names
Kinrara Academy Oval,Malaysia,Kuala Lumpur,3.047922743,101.6426007,"Kinrara Academy Oval; Kinrara Academy; Kinrara Academy Oval, Kuala Lumpur"
BCA Stadium,India,Vadodara,22.39885023,73.29336085,"Kotambi Stadium, Vadodara; BCA Stadium; BCA Stadium, Kotambi (Vadodara); BCA Stadium, Kotambi"
Lahore City Cricket Association Ground,Pakistan,Lahore,31.5130361,74.33599748,Lahore City Cricket Association Ground; Lahore City Cricket Association (LCCA) Ground
Lal Bahadur Shastri Stadium,India,Hyderabad,17.89349263,78.40098033,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan; Lal Bahadur Shastri Stadium; Lal Bahadur Shastri Stadium, Hyderabad; LB Stadium"
Lord's Cricket Ground,United Kingdom,London,51.5297966,-0.1720384,"Lord's; Lord's, London; Lord's Cricket Ground; Lord's Cricket Ground, London"
Louth Cricket Club,United Kingdom,,53.35749694,-0.001129219,Louth Cricket Club
M Chinnaswamy Stadium,India,Bangalore,12.9788127,77.5995775,"M Chinnaswamy Stadium; M.Chinnaswamy Stadium; M Chinnaswamy Stadium, Bengaluru; M Chinnaswamy Stadium, Bangalore; M. Chinnaswamy Stadium; M.Chinnaswamy Stadium, Bengaluru; M.Chinnaswamy Stadium, Bangalore"
MA Aziz Stadium,Bangladesh,Chattogram,22.3461394,91.8256257,"MA Aziz Stadium; MA Aziz Stadium, Chittagong; MA Aziz Stadium, Chattogram"
"MA Chidambaram Stadium, Chepauk",India,Chennai,13.0627521,80.2784304,"MA Chidambaram Stadium, Chepauk; MA Chidambaram Stadium, Chepauk, Chennai; MA Chidambaram Stadium; MA Chidambaram Stadium, Chennai; MA Chidambaram Stadium, Madras; MA Chidambaram Stadium, Chepauk, Madras"
Madhavrao Scindia Cricket Ground,India,Rajkot,22.30209263,70.78905717,"Madhavrao Scindia Cricket Ground; Madhavrao Sindhiya Cricket Ground, Rajkot"
Maharaja Yadavindra Singh PCA Stadium,India,New Chandigarh,30.7790027,76.72385089,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh, Maharaja Yadavindra Singh International Cricket Stadium; Maharaja Yadavindra Singh PCA Stadium"
Holkar Stadium,India,Indore,22.72447199,75.87971044,Maharani Usharaje Trust Cricket Ground; Holkar Stadium
Maharashtra Cricket Association Stadium,India,Pune,18.6737116,73.706379,"Maharashtra Cricket Association Stadium; Maharashtra Cricket Association Stadium, Pune"
Sooriyawewa International Cricket Stadium,Sri Lanka,Hambantota,6.353465952,81.02673812,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa; Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota; Mahinda Rajapaksa International Cricket Stadium; Sooriyawewa International Cricket Stadium; Mahinda Rajapaksa International Cricket Stadium, Hambantota"
Malahide,Republic of Ireland,Dublin,53.3960067,-6.1930822,"Malahide; Malahide, Dublin"
Mangaung Oval,South Africa,Bloemfontein,-29.11648365,26.20521664,"Mangaung Oval; Mangaung Oval, Bloemfontein; OUTsurance Oval; OUTsurance Oval, Bloemfontein"
Mannofield Park,United Kingdom,Aberdeen,57.1255178,-2.1401038,"Mannofield Park; Mannofield Park, Aberdeen"
Manuka Oval,Australia,Canberra,-35.3179533,149.1347561,"Manuka Oval; Manuka Oval, Canberra"
Maple Leaf Cricket Ground,Canada,King City,43.95428249,-79.50744998,"Maple Leaf North-West Ground; Maple Leaf North-West Ground, King City; Maple Leaf Cricket Ground; Maple Leaf North-East Ground; Maple Leaf North-East Ground, King City"
Marrara Cricket Ground,Australia,Darwin,-12.4016677,130.8886736,"Marrara Cricket Ground; Marrara Cricket Ground, Darwin"
McLean Park,New Zealand,Napier,-39.5018431,176.9125267,"McLean Park; McLean Park, Napier"
Melbourne Cricket Ground,Australia,Melbourne,-37.819909,144.983225,"Melbourne Cricket Ground; MCG; Melbourne Cricket Ground, Melbourne"
"Tin Kwong Road Recreation Ground, Cricket Ground",Hong Kong,Hong Kong,22.32350432,114.1849826,"Mission Road Ground, Mong Kok; Mission Road Ground; Tin Kwong Road Recreation Ground, Cricket Ground; Mission Road Ground, Mong Kok, Hong Kong; Mission Road Ground, Mong Kok, Mong Kok; Mission Road Ground, Hong Kong"
Mombasa Sports Club Ground,Kenya,,-4.066895407,39.66670525,Mombasa Sports Club Ground
Moosa Cricket Stadium,United States,Pearland,29.5176685,-95.3257144,"Moosa Cricket Stadium, Pearland; Moosa Cricket Stadium"
Mulpani Cricket Ground,Nepal,Kathmandu,27.718808,85.3912905,"Mulpani Cricket Ground; Mulpani Cricket Ground, Kathmandu"
Multan Cricket Stadium,Pakistan,Multan,30.170783,71.5247746,"Multan Cricket Stadium; Multan Cricket Stadium, Multan"
Nahar Singh Stadium,India,Faridabad,28.3870517,77.2957448,"Nahar Singh Stadium; Nahar Singh Stadium, Faridabad"
Narayanganj Osmani Stadium,Bangladesh,Fatullah,23.6277774,90.493218,Narayanganj Osmani Stadium
