match_id,format,innings_no,team,bowler,legal_balls,overs_text,overs_decimal,maidens,runs_conceded,wickets,wides,no_balls,dot_balls,boundary_balls_conceded,economy,bowling_strike_rate,bowling_average
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,2,Zimbabwe,CJ Chibhabha,90,15.0,15.0,1,44,1,0,2,66,5,2.93,90.0,44.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,2,Zimbabwe,H Masakadza,54,9.0,9.0,1,25,1,0,0,38,2,2.78,54.0,25.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,3,New Zealand,TG Southee,90,15.0,15.0,3,68,2,0,0,62,12,4.53,45.0,34.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,3,New Zealand,TA Boult,102,17.0,17.0,3,52,4,0,0,77,9,3.06,25.5,13.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,3,New Zealand,N Wagner,102,17.0,17.0,1,62,2,0,0,73,11,3.65,51.0,31.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,3,New Zealand,MJ Santner,102,17.0,17.0,6,32,1,0,0,83,4,1.88,102.0,32.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,3,New Zealand,IS Sodhi,72,12.0,12.0,1,66,1,0,0,46,13,5.5,72.0,66.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,3,New Zealand,KS Williamson,6,1.0,1.0,1,0,0,0,0,6,0,0.0,,
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,1,Zimbabwe,DT Tiripano,150,25.0,25.0,4,102,1,0,5,109,14,4.08,150.0,102.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,1,Zimbabwe,MT Chinouya,132,22.0,22.0,6,64,1,0,0,100,10,2.91,132.0,64.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,1,Zimbabwe,CJ Chibhabha,72,12.0,12.0,2,45,0,0,1,53,5,3.75,,
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,1,Zimbabwe,AG Cremer,216,36.0,36.0,2,147,1,0,1,123,11,4.08,216.0,147.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,1,Zimbabwe,J Nyumbu,204,34.0,34.0,3,107,0,0,0,131,7,3.15,,
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,1,Zimbabwe,SC Williams,78,13.0,13.0,0,62,1,0,0,36,5,4.77,78.0,62.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,1,Zimbabwe,Sikandar Raza,24,4.0,4.0,0,17,0,0,0,15,2,4.25,,
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,1,Zimbabwe,PS Masvaure,24,4.0,4.0,0,23,0,1,1,13,2,5.75,,
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,2,New Zealand,TG Southee,168,28.0,28.0,14,73,1,0,0,139,12,2.61,168.0,73.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,2,New Zealand,TA Boult,162,27.0,27.0,13,45,1,0,0,139,6,1.67,162.0,45.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,2,New Zealand,MJ Santner,210,35.0,35.0,8,105,2,0,0,155,15,3.0,105.0,52.5
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,2,New Zealand,N Wagner,186,31.0,31.0,8,61,2,0,1,153,8,1.97,93.0,30.5
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,2,New Zealand,IS Sodhi,130,21.4,21.667,9,60,4,0,0,100,7,2.77,32.5,15.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,2,New Zealand,MJ Guptill,6,1.0,1.0,1,0,0,0,0,6,0,0.0,,
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,3,Zimbabwe,MT Chinouya,54,9.0,9.0,2,45,1,2,0,35,6,5.0,54.0,45.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,3,Zimbabwe,DT Tiripano,36,6.0,6.0,1,14,1,1,0,28,1,2.33,36.0,14.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,3,Zimbabwe,CJ Chibhabha,18,3.0,3.0,0,22,0,0,0,10,4,7.33,,
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,3,Zimbabwe,AG Cremer,66,11.0,11.0,0,59,0,0,0,35,6,5.36,,
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,3,Zimbabwe,J Nyumbu,42,7.0,7.0,0,22,0,0,0,23,0,3.14,,
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,4,New Zealand,TG Southee,84,14.0,14.0,7,35,1,0,0,73,7,2.5,84.0,35.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,4,New Zealand,TA Boult,72,12.0,12.0,4,26,1,0,0,60,5,2.17,72.0,26.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,4,New Zealand,N Wagner,72,12.0,12.0,5,23,1,0,0,61,3,1.92,72.0,23.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,4,New Zealand,MJ Santner,72,12.0,12.0,4,15,1,0,0,61,0,1.25,72.0,15.0
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,4,New Zealand,IS Sodhi,70,11.4,11.667,6,19,3,0,0,59,2,1.63,23.33,6.33
test_2016-08-06_zimbabwe_new_zealand_1024043,Test,4,New Zealand,MJ Guptill,42,7.0,7.0,4,11,3,0,0,38,2,1.57,14.0,3.67
test_2016-10-20_bangladesh_england_1029825,Test,1,Bangladesh,Shafiul Islam,54,9.0,9.0,1,33,0,0,0,38,5,3.67,,
test_2016-10-20_bangladesh_england_1029825,Test,1,Bangladesh,Mehedi Hasan Miraz,239,39.5,39.833,7,80,6,0,0,186,6,2.01,39.83,13.33
test_2016-10-20_bangladesh_england_1029825,Test,1,Bangladesh,Kamrul Islam Rabbi,48,8.0,8.0,0,41,0,2,0,33,7,5.12,,
test_2016-10-20_bangladesh_england_1029825,Test,1,Bangladesh,Shakib Al Hasan,114,19.0,19.0,6,46,2,0,0,89,6,2.42,57.0,23.0
test_2016-10-20_bangladesh_england_1029825,Test,1,Bangladesh,Taijul Islam,144,24.0,24.0,11,47,2,0,0,117,6,1.96,72.0,23.5
test_2016-10-20_bangladesh_england_1029825,Test,1,Bangladesh,Sabbir Rahman,18,3.0,3.0,0,11,0,0,0,11,1,3.67,,
test_2016-10-20_bangladesh_england_1029825,Test,1,Bangladesh,Mahmudullah,12,2.0,2.0,0,17,0,0,0,7,4,8.5,,
test_2016-10-20_bangladesh_england_1029825,Test,1,Bangladesh,Mominul Haque,6,1.0,1.0,1,0,0,0,0,6,0,0.0,,
